"carro","dono","marca","Estilo","Acabamento","Posição de dirigir","Instrumentos","Interior","Porta-malas","Desempenho","Motor","Câmbio","Freios","Suspensão","Consumo","Estabilidade","Custo-Benefício ","Recomendação","indice","Class_NPS"
"Celta",68,"Chevrolet",7,1,8,2,5,7,8,2,6,8,4,5,3,8,6,1959,"Detratores"
"Celta",69,"Chevrolet",8,4,6,7,5,7,8,8,7,8,6,7,9,7,7,1960,"Passivos"
"Celta",70,"Chevrolet",6,3,4,6,4,4,7,7,5,2,4,7,6,10,8,1961,"Passivos"
"Celta",71,"Chevrolet",9,7,6,9,8,6,8,7,10,9,6,8,9,8,8,1962,"Passivos"
"Celta",72,"Chevrolet",9,7,6,7,7,8,7,9,9,6,6,8,6,9,8,1963,"Passivos"
"Celta",73,"Chevrolet",8,6,8,5,7,10,10,10,8,10,10,10,10,10,10,1964,"Promotores"
"Celta",74,"Chevrolet",5,3,5,5,3,2,5,7,5,8,5,5,5,7,5,1965,"Detratores"
"Celta",75,"Chevrolet",8,4,4,0,7,7,5,8,8,7,8,8,9,9,9,1966,"Promotores"
"Celta",76,"Chevrolet",9,7,9,9,7,5,8,9,9,9,8,10,8,9,10,1967,"Promotores"
"Celta",77,"Chevrolet",7,7,7,7,6,5,8,8,7,8,6,9,7,8,9,1968,"Promotores"
"Celta",78,"Chevrolet",7,4,8,6,7,6,10,10,8,8,8,10,10,9,10,1969,"Promotores"
"Celta",79,"Chevrolet",7,3,3,3,6,6,9,5,5,9,6,3,7,3,3,1970,"Detratores"
"Celta",80,"Chevrolet",8,5,9,10,8,8,9,0,4,10,10,5,7,7,2,1971,"Detratores"
"Celta",81,"Chevrolet",8,6,6,8,5,6,10,9,6,8,8,7,7,8,9,1972,"Promotores"
"Celta",82,"Chevrolet",8,7,7,9,7,7,9,8,6,9,8,5,7,7,7,1973,"Passivos"
"Celta",83,"Chevrolet",8,7,10,10,7,7,8,10,8,8,8,8,8,10,10,1974,"Promotores"
"Celta",84,"Chevrolet",7,4,7,6,5,7,6,5,4,6,4,7,8,8,6,1975,"Detratores"
"Celta",85,"Chevrolet",9,7,7,10,7,5,6,4,7,4,6,7,8,9,7,1976,"Passivos"
"Celta",86,"Chevrolet",8,8,8,7,7,7,9,9,8,7,7,7,7,9,8,1977,"Passivos"
"Celta",87,"Chevrolet",8,8,8,8,6,5,7,2,2,6,3,8,4,4,2,1978,"Detratores"
"Celta",88,"Chevrolet",5,3,6,9,4,3,8,6,6,7,7,9,6,10,7,1979,"Passivos"
"Celta",89,"Chevrolet",8,6,6,5,4,3,6,8,7,6,5,3,4,7,5,1980,"Detratores"
"Celta",90,"Chevrolet",7,5,9,10,8,8,7,7,8,8,5,7,7,8,8,1981,"Passivos"
"Celta",91,"Chevrolet",7,4,2,6,5,6,10,10,8,8,8,8,8,9,8,1982,"Passivos"
"Celta",92,"Chevrolet",5,4,3,6,5,5,7,7,7,8,5,5,6,7,7,1983,"Passivos"
"Celta",93,"Chevrolet",10,8,6,5,7,8,9,10,7,7,7,9,10,10,10,1984,"Promotores"
"Celta",94,"Chevrolet",9,6,7,8,7,7,8,7,8,8,7,8,7,8,8,1985,"Passivos"
"Celta",95,"Chevrolet",9,4,8,9,7,7,8,9,8,7,6,6,7,9,8,1986,"Passivos"
"Celta",96,"Chevrolet",8,6,4,5,5,6,10,10,7,7,9,9,6,8,8,1987,"Passivos"
"Celta",97,"Chevrolet",8,8,7,9,5,5,5,8,10,10,7,10,8,8,8,1988,"Passivos"
"Celta",98,"Chevrolet",9,7,8,7,7,9,10,9,8,8,7,9,8,10,9,1989,"Promotores"
"Celta",99,"Chevrolet",7,3,5,3,5,5,8,8,5,7,6,9,7,4,1,1990,"Detratores"
"Celta",100,"Chevrolet",8,2,5,8,8,8,8,10,3,9,7,7,8,8,4,1991,"Detratores"
"Celta",101,"Chevrolet",8,3,5,1,3,5,5,4,4,6,4,7,8,8,8,1992,"Passivos"
"Celta",102,"Chevrolet",8,5,7,10,7,5,9,7,6,7,4,7,6,8,9,1993,"Promotores"
"Celta",103,"Chevrolet",7,4,5,8,3,6,9,9,7,6,6,8,7,7,8,1994,"Passivos"
"Celta",104,"Chevrolet",6,4,7,7,6,6,8,8,7,7,6,7,6,7,6,1995,"Detratores"
"Celta",105,"Chevrolet",2,2,2,1,1,1,4,3,2,2,1,3,3,3,3,1996,"Detratores"
"Celta",106,"Chevrolet",6,1,1,1,1,1,2,6,6,7,2,9,5,6,5,1997,"Detratores"
"Celta",107,"Chevrolet",9,2,3,9,8,6,9,9,8,7,7,7,7,8,8,1998,"Passivos"
"Celta",108,"Chevrolet",5,5,5,5,5,5,7,7,7,6,7,7,7,7,7,1999,"Passivos"
"Celta",109,"Chevrolet",9,6,7,9,8,7,10,10,6,8,8,10,8,8,9,2000,"Promotores"
"Celta",110,"Chevrolet",9,7,8,7,7,10,10,8,9,8,6,6,7,8,7,2001,"Passivos"
"Celta",111,"Chevrolet",10,6,8,9,8,8,9,10,8,8,7,8,8,9,9,2002,"Promotores"
"Celta",112,"Chevrolet",8,6,8,8,6,8,7,8,8,8,5,7,6,8,9,2003,"Promotores"
"Celta",113,"Chevrolet",8,3,7,4,5,3,7,3,8,7,3,7,8,8,5,2004,"Detratores"
"Celta",114,"Chevrolet",8,5,5,7,7,6,8,8,8,8,7,9,8,8,8,2005,"Passivos"
"Celta",115,"Chevrolet",9,6,7,9,6,6,8,8,8,8,9,8,9,8,8,2006,"Passivos"
"Celta",116,"Chevrolet",7,6,7,7,6,6,7,7,7,9,9,0,9,8,8,2007,"Passivos"
"Celta",117,"Chevrolet",10,8,9,10,9,8,10,10,10,10,10,10,10,10,10,2008,"Promotores"
"Celta",118,"Chevrolet",9,3,3,3,2,2,7,8,7,5,4,6,8,7,7,2009,"Passivos"
"Celta",119,"Chevrolet",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2010,"Promotores"
"Celta",120,"Chevrolet",8,7,7,7,7,7,9,9,9,9,7,10,7,10,9,2011,"Promotores"
"Celta",121,"Chevrolet",4,4,4,4,4,5,5,8,5,5,5,8,5,10,6,2012,"Detratores"
"Celta",122,"Chevrolet",9,7,7,8,7,5,9,10,10,10,9,10,9,10,10,2013,"Promotores"
"Celta",123,"Chevrolet",8,7,9,8,9,3,6,9,9,8,7,10,9,10,9,2014,"Promotores"
"Celta",124,"Chevrolet",8,0,0,0,0,3,3,7,7,5,4,7,7,8,0,2015,"Detratores"
"Celta",125,"Chevrolet",7,7,8,9,6,8,8,9,9,8,7,8,8,9,9,2016,"Promotores"
"Celta",126,"Chevrolet",8,6,8,10,8,7,7,9,7,8,8,8,8,8,10,2017,"Promotores"
"Celta",127,"Chevrolet",7,3,2,3,4,6,8,9,6,6,7,9,5,8,8,2018,"Passivos"
"Celta",128,"Chevrolet",8,6,9,10,8,8,7,8,8,9,9,9,10,9,8,2019,"Passivos"
"Celta",129,"Chevrolet",8,6,8,5,5,4,9,9,8,6,6,7,9,10,9,2020,"Promotores"
"Celta",130,"Chevrolet",9,6,10,9,6,6,9,10,9,8,8,9,8,10,10,2021,"Promotores"
"Celta",131,"Chevrolet",8,6,7,8,6,7,7,2,5,8,7,4,7,8,3,2022,"Detratores"
"Celta",132,"Chevrolet",10,10,5,10,10,5,8,10,10,10,7,10,8,10,10,2023,"Promotores"
"Celta",133,"Chevrolet",5,5,10,6,7,9,8,8,9,9,8,0,8,2,0,2024,"Detratores"
"Celta",134,"Chevrolet",8,7,7,6,6,6,6,10,8,7,8,10,10,8,10,2025,"Promotores"
"Celta",135,"Chevrolet",10,3,5,8,8,9,10,10,10,10,10,10,10,9,9,2026,"Promotores"
"Celta",136,"Chevrolet",4,2,4,3,2,2,5,8,8,9,7,6,6,8,7,2027,"Passivos"
"Celta",137,"Chevrolet",10,9,9,10,8,8,8,10,10,10,9,9,8,8,10,2028,"Promotores"
"Celta",138,"Chevrolet",7,6,6,7,7,7,9,8,8,9,9,7,7,8,8,2029,"Passivos"
"Celta",139,"Chevrolet",3,1,1,2,3,5,5,4,2,1,6,10,5,2,0,2030,"Detratores"
"Celta",140,"Chevrolet",8,5,6,3,5,5,8,8,8,8,6,8,7,8,7,2031,"Passivos"
"Celta",141,"Chevrolet",8,6,8,9,6,6,9,9,7,10,9,9,7,7,10,2032,"Promotores"
"Celta",142,"Chevrolet",8,7,8,8,7,7,9,8,8,8,8,10,8,10,9,2033,"Promotores"
"Celta",143,"Chevrolet",8,6,7,10,7,8,8,10,8,10,10,7,10,9,8,2034,"Passivos"
"Celta",144,"Chevrolet",9,6,9,10,6,8,10,10,8,10,10,7,7,8,9,2035,"Promotores"
"Celta",145,"Chevrolet",9,8,10,7,7,7,10,10,8,8,8,10,10,10,10,2036,"Promotores"
"Celta",146,"Chevrolet",8,7,8,7,7,7,8,9,8,8,8,7,8,9,9,2037,"Promotores"
"Celta",147,"Chevrolet",7,5,5,4,4,5,6,7,5,6,5,5,7,9,9,2038,"Promotores"
"Celta",148,"Chevrolet",7,3,3,7,5,6,9,6,4,5,4,4,6,10,10,2039,"Promotores"
"Celta",149,"Chevrolet",10,5,10,10,9,10,10,10,8,10,7,10,10,10,10,2040,"Promotores"
"Celta",150,"Chevrolet",8,4,3,7,5,5,7,7,8,8,6,2,8,8,5,2041,"Detratores"
"Celta",151,"Chevrolet",10,6,10,10,7,8,10,10,10,9,10,10,10,10,10,2042,"Promotores"
"Celta",152,"Chevrolet",9,8,8,10,9,9,9,9,10,9,8,8,9,10,10,2043,"Promotores"
"Celta",153,"Chevrolet",6,5,5,6,2,5,7,6,7,7,7,9,6,6,6,2044,"Detratores"
"Celta",154,"Chevrolet",9,5,8,10,8,9,10,10,10,8,9,10,10,10,10,2045,"Promotores"
"Celta",155,"Chevrolet",7,6,8,8,7,6,7,7,6,9,7,10,9,10,10,2046,"Promotores"
"Celta",156,"Chevrolet",7,5,3,5,5,4,8,9,8,8,8,7,8,10,8,2047,"Passivos"
"Celta",157,"Chevrolet",3,3,7,3,5,5,8,8,8,8,2,8,8,6,1,2048,"Detratores"
"Celta",158,"Chevrolet",8,4,4,7,5,7,9,8,8,8,8,8,9,9,9,2049,"Promotores"
"Celta",159,"Chevrolet",8,6,6,7,6,6,8,8,7,7,7,8,8,8,8,2050,"Passivos"
"Celta",160,"Chevrolet",10,6,10,8,9,9,10,10,10,10,10,10,10,9,10,2051,"Promotores"
"Celta",161,"Chevrolet",9,1,5,8,4,8,4,5,8,6,6,4,4,4,0,2052,"Detratores"
"Celta",162,"Chevrolet",8,2,4,8,4,3,10,10,10,10,3,5,5,7,7,2053,"Passivos"
"Celta",163,"Chevrolet",9,7,9,9,7,9,10,10,10,8,8,10,9,8,9,2054,"Promotores"
"Celta",164,"Chevrolet",6,6,6,5,4,5,7,7,7,6,5,8,9,9,6,2055,"Detratores"
"Celta",165,"Chevrolet",9,5,6,9,6,6,9,9,8,8,7,9,8,8,8,2056,"Passivos"
"Celta",166,"Chevrolet",6,6,6,4,6,6,3,3,6,6,6,6,6,7,5,2057,"Detratores"
"Celta",167,"Chevrolet",7,5,10,8,5,7,10,10,8,7,5,7,7,8,8,2058,"Passivos"
"Celta",168,"Chevrolet",0,0,0,5,0,0,4,5,2,6,3,5,3,5,0,2059,"Detratores"
"Celta",169,"Chevrolet",6,3,5,6,2,2,10,8,8,7,7,6,7,6,7,2060,"Passivos"
"Celta",170,"Chevrolet",6,5,4,7,4,3,7,8,8,8,7,8,7,6,5,2061,"Detratores"
"Celta",171,"Chevrolet",9,7,9,9,8,8,9,9,8,7,7,8,8,9,9,2062,"Promotores"
"Celta",172,"Chevrolet",7,7,7,10,7,6,10,10,10,8,8,8,8,10,9,2063,"Promotores"
"Celta",173,"Chevrolet",5,3,4,6,5,4,4,4,5,5,5,9,9,8,7,2064,"Passivos"
"Celta",174,"Chevrolet",7,5,4,10,6,6,10,10,7,7,7,8,6,9,9,2065,"Promotores"
"Celta",175,"Chevrolet",9,7,8,10,7,8,10,9,8,7,9,8,10,8,10,2066,"Promotores"
"Celta",176,"Chevrolet",7,4,2,0,5,5,5,5,6,6,2,8,6,6,0,2067,"Detratores"
"Celta",177,"Chevrolet",8,7,7,7,8,8,10,9,9,10,10,10,9,10,10,2068,"Promotores"
"Celta",178,"Chevrolet",4,1,1,5,2,5,3,1,0,2,0,5,4,2,0,2069,"Detratores"
"Celta",179,"Chevrolet",7,4,7,3,4,3,6,8,8,5,4,6,4,8,7,2070,"Passivos"
"Celta",180,"Chevrolet",6,6,6,8,8,8,10,9,8,8,8,10,9,9,10,2071,"Promotores"
"Celta",181,"Chevrolet",9,4,1,4,5,4,7,9,6,5,4,4,6,8,8,2072,"Passivos"
"Celta",182,"Chevrolet",7,5,6,5,5,6,8,8,6,7,7,6,6,8,7,2073,"Passivos"
"Celta",183,"Chevrolet",10,9,9,9,7,8,10,10,9,10,10,10,9,10,10,2074,"Promotores"
"Celta",184,"Chevrolet",7,7,10,8,7,7,10,10,10,8,10,10,10,10,10,2075,"Promotores"
"Celta",185,"Chevrolet",10,8,7,9,6,8,10,8,7,10,10,8,10,9,8,2076,"Passivos"
"Celta",186,"Chevrolet",9,5,7,9,8,9,10,10,8,8,8,9,9,9,9,2077,"Promotores"
"Celta",187,"Chevrolet",7,7,7,9,7,7,7,7,8,7,7,8,8,9,8,2078,"Passivos"
"Celta",188,"Chevrolet",10,9,9,9,8,5,8,9,9,7,8,9,10,10,10,2079,"Promotores"
"Celta",189,"Chevrolet",7,8,10,10,5,6,9,9,10,8,10,9,9,6,10,2080,"Promotores"
"Celta",190,"Chevrolet",8,6,7,7,6,6,7,6,3,6,7,8,8,7,7,2081,"Passivos"
"Celta",191,"Chevrolet",9,9,9,9,7,8,9,10,7,9,9,9,9,9,9,2082,"Promotores"
"Celta",192,"Chevrolet",10,8,8,8,7,7,9,8,9,8,8,8,8,8,8,2083,"Passivos"
"Celta",193,"Chevrolet",10,8,8,8,7,5,8,8,8,8,8,10,8,8,10,2084,"Promotores"
"Celta",194,"Chevrolet",8,6,7,6,5,5,7,8,7,7,7,10,9,10,9,2085,"Promotores"
"Celta",195,"Chevrolet",8,5,8,6,8,7,10,7,7,8,8,10,9,10,10,2086,"Promotores"
"Celta",196,"Chevrolet",8,6,7,9,8,7,10,8,8,8,7,8,8,9,8,2087,"Passivos"
"Celta",197,"Chevrolet",7,6,8,8,7,5,7,7,8,7,8,9,6,9,9,2088,"Promotores"
"Celta",198,"Chevrolet",5,3,6,6,4,5,2,5,5,7,7,10,8,10,7,2089,"Passivos"
"Celta",199,"Chevrolet",8,6,10,5,8,8,10,10,10,10,10,10,10,8,8,2090,"Passivos"
"Celta",200,"Chevrolet",8,6,6,8,8,5,9,9,9,9,9,7,8,9,9,2091,"Promotores"
"Celta",201,"Chevrolet",8,8,7,8,8,8,10,10,8,9,9,9,10,10,10,2092,"Promotores"
"Celta",202,"Chevrolet",8,5,7,8,6,5,8,8,7,5,5,8,6,8,8,2093,"Passivos"
"Celta",203,"Chevrolet",6,3,4,7,4,4,7,8,5,5,5,8,7,7,7,2094,"Passivos"
"Celta",204,"Chevrolet",9,6,7,10,8,7,6,8,7,7,6,6,8,7,9,2095,"Promotores"
"Celta",205,"Chevrolet",8,6,5,10,9,8,9,8,6,8,8,9,8,9,10,2096,"Promotores"
"Celta",206,"Chevrolet",8,8,7,5,5,6,8,8,8,6,6,8,8,8,9,2097,"Promotores"
"Celta",207,"Chevrolet",7,7,7,10,8,9,10,10,7,7,9,10,10,8,7,2098,"Passivos"
"Celta",208,"Chevrolet",10,8,6,10,8,8,10,6,9,10,9,9,9,9,9,2099,"Promotores"
"Celta",209,"Chevrolet",7,3,6,6,4,5,8,7,6,5,5,7,5,7,8,2100,"Passivos"
"Celta",210,"Chevrolet",9,8,8,10,8,8,9,9,9,9,9,9,9,9,9,2101,"Promotores"
"Celta",211,"Chevrolet",7,3,6,6,6,6,9,8,8,3,5,6,6,6,6,2102,"Detratores"
"Celta",212,"Chevrolet",8,3,5,6,3,5,10,9,9,9,8,9,7,10,10,2103,"Promotores"
"Celta",213,"Chevrolet",8,3,5,2,2,6,8,8,7,7,7,9,8,9,10,2104,"Promotores"
"Celta",214,"Chevrolet",7,7,9,8,6,3,6,4,7,2,5,4,8,4,4,2105,"Detratores"
"Celta",215,"Chevrolet",7,6,5,8,7,7,10,9,10,9,9,10,10,10,9,2106,"Promotores"
"Celta",216,"Chevrolet",6,3,8,7,2,3,7,1,6,6,4,8,6,8,6,2107,"Detratores"
"Celta",217,"Chevrolet",6,2,6,2,2,3,7,5,3,7,3,9,9,8,8,2108,"Passivos"
"Celta",218,"Chevrolet",8,5,6,7,7,7,8,6,9,9,9,10,8,10,9,2109,"Promotores"
"Celta",219,"Chevrolet",9,8,3,8,3,7,10,10,9,9,9,10,8,10,10,2110,"Promotores"
"Celta",220,"Chevrolet",7,6,7,9,7,8,10,9,10,7,9,10,7,10,9,2111,"Promotores"
"Celta",221,"Chevrolet",9,3,7,8,4,7,10,10,5,8,7,7,6,9,9,2112,"Promotores"
"Celta",222,"Chevrolet",7,2,3,3,3,3,5,5,4,5,5,7,6,7,7,2113,"Passivos"
"Celta",223,"Chevrolet",9,8,9,7,9,7,9,6,6,8,3,9,9,7,8,2114,"Passivos"
"Celta",224,"Chevrolet",8,6,7,8,4,6,9,8,7,6,9,10,8,8,7,2115,"Passivos"
"Celta",225,"Chevrolet",7,5,5,6,3,6,7,6,5,6,6,5,7,7,7,2116,"Passivos"
"Celta",226,"Chevrolet",8,7,7,7,6,6,7,7,7,7,7,10,9,10,9,2117,"Promotores"
"Celta",227,"Chevrolet",10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,2118,"Promotores"
"Celta",228,"Chevrolet",7,7,7,8,4,4,10,10,8,8,8,8,7,9,8,2119,"Passivos"
"Celta",229,"Chevrolet",9,9,9,9,9,8,8,9,8,9,7,10,9,10,9,2120,"Promotores"
"Celta",230,"Chevrolet",8,7,9,7,6,6,8,9,8,7,7,9,9,8,8,2121,"Passivos"
"Celta",231,"Chevrolet",8,5,3,4,3,7,6,7,8,6,6,2,7,9,8,2122,"Passivos"
"Celta",232,"Chevrolet",5,6,7,8,5,5,6,3,9,9,9,8,9,9,8,2123,"Passivos"
"Celta",233,"Chevrolet",6,7,8,8,6,7,7,7,7,7,7,5,6,7,7,2124,"Passivos"
"Celta",234,"Chevrolet",8,5,7,9,6,4,8,8,6,7,7,5,7,6,7,2125,"Passivos"
"Celta",235,"Chevrolet",6,4,9,4,5,5,10,10,8,7,6,8,9,10,10,2126,"Promotores"
"Celta",236,"Chevrolet",7,2,1,3,1,2,6,0,8,8,3,7,7,6,7,2127,"Passivos"
"Celta",237,"Chevrolet",7,8,8,7,6,7,9,9,9,9,9,7,9,10,9,2128,"Promotores"
"Celta",238,"Chevrolet",5,2,4,4,4,4,6,5,8,5,5,5,5,8,5,2129,"Detratores"
"Celta",239,"Chevrolet",8,6,7,6,7,7,8,9,9,7,8,10,8,9,8,2130,"Passivos"
"Celta",240,"Chevrolet",9,7,6,6,6,6,8,8,7,8,10,7,7,7,9,2131,"Promotores"
"Celta",241,"Chevrolet",9,7,8,8,8,5,7,7,7,7,7,3,6,6,8,2132,"Passivos"
"Celta",242,"Chevrolet",7,4,7,9,4,5,9,4,6,7,7,2,7,5,7,2133,"Passivos"
"Celta",243,"Chevrolet",8,7,7,8,6,6,8,9,7,7,6,7,8,8,9,2134,"Promotores"
"Celta",244,"Chevrolet",9,7,7,10,5,8,10,10,9,10,9,9,9,10,10,2135,"Promotores"
"Celta",245,"Chevrolet",7,5,8,1,1,3,8,5,7,6,3,7,9,10,10,2136,"Promotores"
"Celta",246,"Chevrolet",9,7,4,8,8,6,8,5,5,7,7,7,7,7,9,2137,"Promotores"
"Celta",247,"Chevrolet",9,6,6,6,6,5,9,6,6,8,10,4,7,9,9,2138,"Promotores"
"Celta",248,"Chevrolet",8,6,6,9,7,5,5,9,9,8,9,10,4,8,8,2139,"Passivos"
"Celta",249,"Chevrolet",10,6,7,10,8,8,9,9,9,8,7,7,8,8,10,2140,"Promotores"
"Celta",250,"Chevrolet",8,6,8,9,7,7,10,9,7,7,8,8,8,9,9,2141,"Promotores"
"Celta",251,"Chevrolet",10,9,9,10,9,9,10,10,9,9,9,5,9,10,10,2142,"Promotores"
"Celta",252,"Chevrolet",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2143,"Promotores"
"Celta",253,"Chevrolet",9,7,9,9,8,8,10,8,8,8,9,10,9,10,10,2144,"Promotores"
"Celta",254,"Chevrolet",8,6,6,7,6,6,7,8,8,6,7,6,7,7,8,2145,"Passivos"
"Celta",255,"Chevrolet",7,5,6,8,5,5,8,8,8,9,8,7,8,8,8,2146,"Passivos"
"Celta",256,"Chevrolet",9,8,9,10,8,5,9,9,8,10,9,9,8,9,10,2147,"Promotores"
"Celta",257,"Chevrolet",9,5,3,9,3,3,5,10,7,4,4,0,8,9,10,2148,"Promotores"
"Celta",258,"Chevrolet",3,2,2,3,3,3,7,7,5,4,3,4,3,5,4,2149,"Detratores"
"Celta",259,"Chevrolet",7,8,6,5,6,7,8,8,6,4,5,7,4,5,5,2150,"Detratores"
"Celta",260,"Chevrolet",9,5,5,5,5,5,10,0,8,8,8,3,8,5,5,2151,"Detratores"
"Celta",261,"Chevrolet",10,4,4,3,5,9,5,10,7,5,5,9,9,10,10,2152,"Promotores"
"Celta",262,"Chevrolet",9,6,9,9,8,8,9,9,8,8,8,10,8,9,9,2153,"Promotores"
"Celta",263,"Chevrolet",7,5,6,9,7,5,10,8,10,8,8,9,7,8,10,2154,"Promotores"
"Celta",264,"Chevrolet",7,0,9,1,5,10,9,6,5,6,5,7,9,9,6,2155,"Detratores"
"Celta",265,"Chevrolet",10,6,7,10,7,9,10,8,8,8,9,6,9,10,9,2156,"Promotores"
"Celta",266,"Chevrolet",7,6,5,8,7,7,10,9,9,9,6,9,8,9,9,2157,"Promotores"
"Celta",267,"Chevrolet",8,5,8,8,6,4,8,8,8,8,8,8,8,8,9,2158,"Promotores"
"Celta",268,"Chevrolet",8,7,7,8,8,7,9,9,9,7,7,8,7,7,8,2159,"Passivos"
"Celta",269,"Chevrolet",8,3,2,7,5,4,6,6,6,4,4,3,6,7,8,2160,"Passivos"
"Celta",270,"Chevrolet",6,0,0,5,2,10,10,10,10,2,0,10,10,5,5,2161,"Detratores"
"Celta",271,"Chevrolet",8,7,7,8,7,5,9,9,9,8,8,5,8,9,9,2162,"Promotores"
"Celta",272,"Chevrolet",8,9,10,9,7,9,9,10,10,9,8,9,7,9,9,2163,"Promotores"
"Celta",273,"Chevrolet",8,7,7,6,7,8,7,7,9,7,9,8,9,8,9,2164,"Promotores"
"Celta",274,"Chevrolet",5,2,7,1,1,2,1,0,3,8,6,7,6,5,0,2165,"Detratores"
"Celta",275,"Chevrolet",8,4,4,2,2,6,7,5,5,5,4,8,0,7,8,2166,"Passivos"
"Celta",276,"Chevrolet",8,8,9,10,8,8,9,9,9,10,10,9,10,10,10,2167,"Promotores"
"Celta",277,"Chevrolet",8,4,7,4,6,6,6,6,7,5,5,7,8,7,8,2168,"Passivos"
"Celta",278,"Chevrolet",8,5,4,0,6,6,10,10,9,5,7,10,8,10,10,2169,"Promotores"
"Celta",279,"Chevrolet",9,6,6,6,7,8,9,8,9,5,6,8,8,9,7,2170,"Passivos"
"Celta",280,"Chevrolet",5,3,5,7,5,5,5,5,5,5,5,7,6,8,10,2171,"Promotores"
"Celta",281,"Chevrolet",8,5,9,10,8,8,8,7,9,9,10,10,10,8,10,2172,"Promotores"
"Celta",282,"Chevrolet",10,8,10,7,7,8,10,10,10,10,10,10,10,10,10,2173,"Promotores"
"Celta",283,"Chevrolet",7,6,8,7,6,6,9,9,8,8,7,8,9,9,9,2174,"Promotores"
"Celta",284,"Chevrolet",5,3,7,7,5,5,8,9,8,8,7,9,7,9,8,2175,"Passivos"
"Celta",285,"Chevrolet",8,5,7,7,6,6,9,9,7,7,7,9,8,10,9,2176,"Promotores"
"Celta",286,"Chevrolet",9,5,8,9,9,8,9,6,9,7,8,8,8,8,9,2177,"Promotores"
"Celta",287,"Chevrolet",9,7,7,8,8,5,9,8,9,3,8,7,8,8,8,2178,"Passivos"
"Celta",288,"Chevrolet",7,5,5,7,4,4,8,7,6,4,5,8,6,8,8,2179,"Passivos"
"Celta",289,"Chevrolet",8,0,4,2,1,8,10,4,5,6,6,10,7,9,5,2180,"Detratores"
"Celta",290,"Chevrolet",3,1,2,10,3,4,10,10,7,10,10,10,7,10,5,2181,"Detratores"
"Celta",291,"Chevrolet",10,10,10,10,10,5,10,10,10,10,10,10,8,8,8,2182,"Passivos"
"Celta",292,"Chevrolet",7,5,7,5,5,7,7,6,8,7,4,9,8,7,3,2183,"Detratores"
"Celta",293,"Chevrolet",9,8,10,10,9,8,10,10,8,10,10,10,10,10,10,2184,"Promotores"
"Celta",294,"Chevrolet",9,9,10,9,9,8,8,8,8,8,9,8,9,10,9,2185,"Promotores"
"Celta",295,"Chevrolet",10,2,10,10,10,10,10,8,10,10,10,4,10,7,6,2186,"Detratores"
"Celta",296,"Chevrolet",8,5,7,8,4,6,9,5,5,5,5,5,4,5,6,2187,"Detratores"
"Celta",297,"Chevrolet",8,6,7,8,7,7,5,5,5,7,7,0,7,9,5,2188,"Detratores"
"Celta",298,"Chevrolet",6,6,8,10,5,5,10,7,7,7,10,7,7,7,8,2189,"Passivos"
"Celta",299,"Chevrolet",7,5,6,6,6,8,8,10,9,10,9,10,9,10,9,2190,"Promotores"
"Celta",300,"Chevrolet",9,0,9,9,9,8,8,8,8,9,9,7,8,8,8,2191,"Passivos"
"Celta",301,"Chevrolet",7,5,6,9,7,7,9,9,9,10,7,10,8,10,10,2192,"Promotores"
"Celta",302,"Chevrolet",9,8,8,9,8,8,9,7,8,8,6,8,8,10,10,2193,"Promotores"
"Celta",303,"Chevrolet",8,5,7,8,7,6,10,9,9,7,8,9,10,10,10,2194,"Promotores"
"Celta",304,"Chevrolet",8,6,9,10,7,6,10,8,10,9,9,9,8,9,9,2195,"Promotores"
"Celta",305,"Chevrolet",10,4,10,7,10,10,10,8,9,7,10,10,10,10,10,2196,"Promotores"
"Celta",306,"Chevrolet",7,6,7,7,7,5,7,9,8,8,8,10,7,7,8,2197,"Passivos"
"Celta",307,"Chevrolet",10,8,7,9,8,8,10,9,7,10,9,10,10,9,9,2198,"Promotores"
"Celta",308,"Chevrolet",9,3,3,3,3,3,10,10,9,9,8,10,9,10,10,2199,"Promotores"
"Celta",309,"Chevrolet",10,5,7,6,7,10,9,10,5,4,4,8,7,8,10,2200,"Promotores"
"Celta",310,"Chevrolet",8,5,7,7,8,10,9,10,6,8,6,10,9,10,10,2201,"Promotores"
"Celta",311,"Chevrolet",10,6,8,9,8,7,10,10,7,8,10,8,10,7,9,2202,"Promotores"
"Celta",312,"Chevrolet",8,8,8,8,8,6,9,10,6,8,8,8,7,9,10,2203,"Promotores"
"Celta",313,"Chevrolet",10,5,10,10,8,8,8,5,0,8,9,10,10,10,5,2204,"Detratores"
"Celta",314,"Chevrolet",8,7,8,7,7,6,6,10,8,9,8,10,8,10,10,2205,"Promotores"
"Celta",315,"Chevrolet",10,4,7,3,5,2,5,8,8,7,5,7,5,10,4,2206,"Detratores"
"Celta",316,"Chevrolet",8,7,9,7,7,5,10,9,1,2,5,10,10,8,10,2207,"Promotores"
"Celta",317,"Chevrolet",9,7,10,7,4,6,8,8,8,10,7,10,8,10,10,2208,"Promotores"
"Celta",318,"Chevrolet",8,8,6,7,7,7,7,6,5,4,5,9,6,9,8,2209,"Passivos"
"Celta",319,"Chevrolet",7,1,4,3,3,3,9,9,6,6,7,10,7,10,8,2210,"Passivos"
