"carro","dono","marca","Estilo","Acabamento","Posição de dirigir","Instrumentos","Interior","Porta-malas","Desempenho","Motor","Câmbio","Freios","Suspensão","Consumo","Estabilidade","Custo-Benefício ","Recomendação"
"Fox",508,"Chevrolet",7,4,7,3,8,8,6,7,7,8,8,7,8,7,9
"Fox",509,"Chevrolet",9,7,10,8,9,6,3,4,7,1,6,5,4,2,1
"Fox",510,"Chevrolet",8,8,10,8,10,6,6,4,5,7,7,8,8,6,4
"Fox",511,"Chevrolet",10,8,9,9,9,5,8,6,10,8,6,8,8,8,8
"Fox",512,"Chevrolet",8,7,8,9,10,7,5,5,10,6,7,5,6,7,8
"Fox",513,"Chevrolet",9,7,8,3,8,5,4,4,6,5,6,3,7,4,4
"Fox",514,"Chevrolet",7,5,8,7,6,8,3,4,7,3,5,0,5,2,0
"Fox",515,"Chevrolet",10,3,8,7,8,2,6,7,10,6,6,1,8,8,5
"Fox",516,"Chevrolet",8,5,6,6,8,6,5,5,6,6,8,5,10,6,6
"Fox",517,"Chevrolet",7,4,10,7,8,6,8,8,8,8,6,7,7,8,7
"Fox",518,"Chevrolet",7,3,8,4,7,3,5,5,8,5,6,0,7,5,0
"Fox",519,"Chevrolet",8,7,10,7,8,8,8,8,0,8,7,7,8,7,8
"Fox",520,"Chevrolet",7,1,7,4,7,3,0,0,3,3,2,1,4,4,1
"Fox",521,"Chevrolet",8,5,10,5,10,10,0,0,0,8,8,5,5,5,0
"Fox",522,"Chevrolet",9,8,8,8,9,6,2,3,6,6,6,0,7,2,0
"Fox",523,"Chevrolet",10,8,8,8,8,8,3,5,5,3,7,0,7,9,5
"Fox",524,"Chevrolet",7,5,5,6,6,0,2,2,6,4,5,0,4,4,0
"Fox",525,"Chevrolet",8,8,9,6,8,5,7,3,8,5,7,8,8,8,8
"Fox",526,"Chevrolet",7,6,6,7,8,5,1,3,2,9,4,2,9,5,0
"Fox",527,"Chevrolet",0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
"Fox",528,"Chevrolet",10,8,6,7,8,8,9,7,7,8,8,2,10,7,10
"Fox",529,"Chevrolet",9,5,9,5,9,8,9,6,9,8,7,6,9,8,8
"Fox",530,"Chevrolet",8,8,7,6,8,6,8,1,8,8,8,8,8,7,5
"Fox",531,"Chevrolet",5,6,7,6,7,3,4,4,5,6,7,1,8,4,3
"Fox",532,"Chevrolet",10,10,10,10,10,5,4,9,8,8,10,2,8,4,5
"Fox",533,"Chevrolet",10,5,8,5,7,2,7,2,8,8,8,2,8,4,0
"Fox",534,"Chevrolet",5,6,8,6,3,4,5,3,7,1,6,5,6,6,0
"Fox",535,"Chevrolet",10,8,10,9,10,8,10,10,10,9,0,10,10,10,10
"Fox",536,"Chevrolet",8,8,8,3,3,1,3,2,2,0,4,0,4,1,0
"Fox",537,"Chevrolet",9,7,7,8,9,7,8,9,10,9,9,7,9,7,9
"Fox",538,"Chevrolet",0,7,5,4,9,7,5,5,10,9,8,3,7,7,9
"Fox",539,"Chevrolet",8,4,4,5,6,3,4,6,6,6,7,0,8,3,0
"Fox",540,"Chevrolet",10,5,5,3,5,4,3,3,3,3,3,2,2,0,0
"Fox",541,"Chevrolet",9,7,9,8,8,4,7,7,9,7,8,4,8,6,8
"Fox",542,"Chevrolet",10,8,9,9,9,10,8,8,10,8,8,8,9,8,9
"Fox",543,"Chevrolet",8,8,10,7,7,8,10,10,10,8,8,8,7,10,10
"Fox",544,"Chevrolet",9,5,9,6,7,6,5,3,6,8,8,0,8,8,5
"Fox",545,"Chevrolet",7,6,8,5,8,5,5,5,7,6,6,1,6,4,4
"Fox",546,"Chevrolet",8,8,10,8,10,5,4,7,7,8,9,3,0,7,5
"Fox",547,"Chevrolet",6,4,8,0,4,0,4,7,9,6,7,0,7,5,6
"Fox",548,"Chevrolet",10,5,10,8,5,3,0,3,8,5,1,0,9,5,0
"Fox",549,"Chevrolet",9,6,9,2,8,3,4,6,7,5,6,2,5,6,7
"Fox",550,"Chevrolet",9,7,6,6,8,9,8,8,8,7,8,0,7,2,4
"Fox",551,"Chevrolet",8,6,6,5,5,6,5,5,8,5,6,0,6,5,5
"Fox",552,"Chevrolet",10,5,8,8,8,6,5,9,9,7,7,0,8,7,6
"Fox",553,"Chevrolet",9,4,9,4,7,4,7,9,8,8,8,3,7,7,7
"Fox",554,"Chevrolet",9,7,9,7,8,5,9,10,7,10,9,8,8,8,8
"Fox",555,"Chevrolet",8,7,5,8,10,9,5,6,6,5,6,1,0,2,1
"Fox",556,"Chevrolet",7,6,9,6,8,3,7,5,5,8,6,2,6,4,9
"Fox",557,"Chevrolet",8,5,3,7,7,4,7,8,8,8,8,6,8,7,5
"Fox",558,"Chevrolet",9,6,7,8,10,6,7,8,8,8,8,6,10,7,8
"Fox",559,"Chevrolet",10,6,10,8,8,6,3,3,7,7,7,0,10,6,0
"Fox",560,"Chevrolet",8,0,6,5,8,3,8,6,8,2,2,3,5,0,0
"Fox",561,"Chevrolet",8,1,8,3,10,6,1,0,6,5,6,0,7,6,0
"Fox",562,"Chevrolet",10,7,8,9,8,7,9,9,10,8,8,10,9,9,9
"Fox",563,"Chevrolet",7,7,9,6,7,1,3,5,6,3,5,0,7,1,0
"Fox",564,"Chevrolet",9,6,9,7,8,6,9,8,9,9,7,4,9,8,8
"Fox",565,"Chevrolet",10,7,9,7,9,6,8,8,10,8,9,7,7,8,10
"Fox",566,"Chevrolet",9,8,9,10,8,5,6,5,8,6,7,5,7,8,5
"Fox",567,"Chevrolet",7,4,7,5,5,5,6,6,8,7,5,5,7,4,2
"Fox",568,"Chevrolet",9,6,6,7,7,3,8,7,6,6,8,3,9,5,8
"Fox",569,"Chevrolet",10,7,10,7,7,3,7,9,10,8,9,5,8,7,8
"Fox",570,"Chevrolet",10,5,10,5,10,1,7,7,7,9,8,2,7,8,10
"Fox",571,"Chevrolet",9,8,10,7,8,6,9,8,9,6,8,8,7,9,9
"Fox",572,"Chevrolet",8,0,4,3,0,5,5,0,4,4,7,0,8,0,0
"Fox",573,"Chevrolet",8,6,6,6,8,8,5,3,4,5,5,1,3,5,2
"Fox",574,"Chevrolet",7,5,6,5,3,4,2,3,3,6,3,4,7,3,0
"Fox",575,"Chevrolet",7,7,10,2,7,6,7,6,9,9,7,5,6,5,6
"Fox",576,"Chevrolet",10,5,10,10,10,10,5,9,10,10,10,8,10,9,10
"Fox",577,"Chevrolet",5,5,10,0,7,0,3,0,5,6,5,5,5,5,0
"Fox",578,"Chevrolet",9,7,9,8,10,5,8,9,9,7,8,8,8,8,9
"Fox",579,"Chevrolet",8,2,4,7,9,9,8,9,9,7,9,8,9,8,0
"Fox",580,"Chevrolet",9,6,6,6,9,7,6,7,8,6,6,5,7,8,8
"Fox",581,"Chevrolet",8,4,9,7,9,7,9,9,9,8,8,9,9,8,8
"Fox",582,"Chevrolet",9,7,10,6,10,7,8,7,8,8,8,6,9,9,8
"Fox",583,"Chevrolet",8,7,10,7,10,8,8,8,9,8,8,7,7,8,8
"Fox",584,"Chevrolet",10,6,10,10,10,8,0,5,10,7,10,7,10,8,7
"Fox",585,"Chevrolet",10,2,5,5,8,6,5,4,9,7,5,8,7,4,10
"Fox",586,"Chevrolet",10,7,10,10,9,10,7,8,10,10,8,9,10,9,10
"Fox",587,"Chevrolet",9,4,8,4,6,3,7,9,7,8,6,9,9,5,5
"Fox",588,"Chevrolet",10,8,8,8,8,8,8,8,8,8,8,0,10,0,0
"Fox",589,"Chevrolet",10,5,5,3,10,3,10,8,10,8,8,8,10,10,10
"Fox",590,"Chevrolet",9,3,7,3,2,2,6,7,7,5,6,0,3,0,0
"Fox",591,"Chevrolet",7,7,7,4,1,0,1,0,1,1,1,0,1,0,0
"Fox",592,"Chevrolet",9,7,9,9,10,8,10,8,9,8,10,8,9,10,9
"Fox",593,"Chevrolet",8,5,6,6,8,6,7,6,7,7,7,7,6,4,4
"Fox",594,"Chevrolet",8,8,6,4,8,6,8,4,0,2,3,9,9,8,3
"Fox",595,"Chevrolet",7,4,5,4,9,4,4,3,3,1,0,0,3,2,1
"Fox",596,"Chevrolet",5,3,10,7,10,5,2,3,8,6,9,2,2,10,8
"Fox",597,"Chevrolet",9,1,5,1,3,8,8,5,2,4,2,7,8,5,0
"Fox",598,"Chevrolet",8,6,10,7,7,5,5,6,9,7,7,6,7,6,5
"Fox",599,"Chevrolet",10,4,10,8,8,6,9,6,8,6,8,2,8,8,9
"Fox",600,"Chevrolet",9,5,9,8,8,7,5,9,10,9,9,9,9,10,8
"Fox",601,"Chevrolet",8,2,6,2,2,4,2,5,6,3,3,4,8,4,4
"Fox",602,"Chevrolet",9,7,8,7,10,3,5,7,10,9,9,5,9,7,7
"Fox",603,"Chevrolet",9,8,10,8,9,6,9,9,10,10,8,8,8,8,10
"Fox",604,"Chevrolet",8,5,7,5,5,3,4,6,10,10,8,8,5,7,6
"Fox",605,"Chevrolet",8,6,8,7,9,6,9,8,10,8,8,5,8,7,8
"Fox",606,"Chevrolet",10,9,9,8,10,9,8,9,10,8,8,7,8,9,10
"Fox",607,"Chevrolet",10,8,9,5,7,6,7,8,9,2,7,7,7,7,8
"Fox",608,"Chevrolet",9,6,9,7,8,8,6,7,8,8,5,6,7,8,6
"Fox",609,"Chevrolet",9,9,10,6,9,8,9,9,10,9,9,9,10,10,10
"Jetta",1,"Volkswagen",10,7,9,10,10,10,8,9,10,10,9,9,9,7,9
"Jetta",2,"Volkswagen",8,8,9,9,9,10,10,10,9,9,9,9,9,10,10
"Jetta",3,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Jetta",4,"Volkswagen",10,9,10,10,10,10,8,9,10,10,8,8,10,8,10
"Jetta",5,"Volkswagen",9,8,10,10,10,10,8,8,10,10,10,7,10,10,10
"Jetta",6,"Volkswagen",8,10,10,9,10,10,8,9,10,9,9,10,10,9,9
"Jetta",7,"Volkswagen",9,10,9,10,10,10,10,10,10,10,9,7,10,7,9
"Jetta",8,"Volkswagen",8,8,9,9,8,9,10,9,9,9,9,9,9,9,9
"Jetta",9,"Volkswagen",10,9,9,10,10,10,5,10,10,7,9,10,10,9,9
"Jetta",10,"Volkswagen",8,6,10,10,10,10,10,10,10,10,9,8,9,10,10
"Jetta",11,"Volkswagen",10,10,10,10,10,10,10,10,10,10,4,1,10,0,7
"Jetta",12,"Volkswagen",10,10,10,10,10,10,10,10,10,10,8,9,10,10,10
"Jetta",13,"Volkswagen",10,9,10,10,10,10,10,10,10,7,8,10,9,9,10
"Jetta",14,"Volkswagen",9,8,9,8,9,10,10,10,10,8,8,7,7,8,8
"Jetta",15,"Volkswagen",9,9,10,10,10,10,10,10,10,10,9,9,10,9,10
"Jetta",16,"Volkswagen",9,9,9,9,10,10,10,10,10,10,10,9,10,10,10
"Jetta",17,"Volkswagen",8,8,9,9,9,9,10,10,10,10,9,9,9,7,10
"Jetta",18,"Volkswagen",10,9,9,8,10,10,8,9,8,10,7,6,9,9,10
"Jetta",19,"Volkswagen",9,9,8,9,9,9,10,9,8,8,4,8,9,7,8
"Jetta",20,"Volkswagen",10,9,10,10,10,10,10,10,10,10,9,10,10,10,10
"Jetta",21,"Volkswagen",10,9,10,10,9,10,8,9,10,10,9,8,10,10,10
"Jetta",22,"Volkswagen",9,7,10,10,9,10,10,10,10,9,7,8,9,9,9
"Jetta",23,"Volkswagen",9,10,9,10,9,10,10,10,10,9,9,9,10,10,9
"Jetta",24,"Volkswagen",9,9,8,10,9,10,10,8,10,8,9,9,9,10,10
"Jetta",25,"Volkswagen",8,8,9,9,9,10,8,7,10,8,8,8,9,9,9
"Jetta",26,"Volkswagen",8,9,9,9,10,10,10,10,10,10,9,9,8,9,10
"Jetta",27,"Volkswagen",8,10,10,10,10,10,10,10,10,10,8,9,10,10,10
"Jetta",28,"Volkswagen",10,9,9,10,9,10,9,10,9,8,9,8,9,9,10
"Jetta",29,"Volkswagen",7,8,8,8,8,8,10,9,10,7,8,8,8,8,9
"Jetta",30,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
"Jetta",31,"Volkswagen",9,10,10,10,10,10,10,10,10,10,10,8,10,10,10
"Jetta",32,"Volkswagen",10,8,10,9,10,10,10,9,10,10,9,9,10,9,10
"Jetta",33,"Volkswagen",9,8,9,9,8,10,6,6,10,10,9,6,9,9,8
"Jetta",34,"Volkswagen",9,8,9,10,9,9,10,10,10,10,9,9,10,10,10
"Jetta",35,"Volkswagen",7,7,8,8,8,8,9,7,10,9,8,8,8,9,8
"Jetta",36,"Volkswagen",9,10,8,9,9,10,8,9,10,10,8,9,9,9,9
"Jetta",37,"Volkswagen",8,8,8,10,10,10,10,10,10,10,8,10,8,10,10
"Jetta",38,"Volkswagen",10,6,4,9,7,8,5,2,2,2,0,8,7,1,0
"Jetta",39,"Volkswagen",8,7,8,8,6,8,8,8,9,8,8,7,8,7,7
"Jetta",40,"Volkswagen",8,7,8,9,9,10,10,10,10,10,8,8,10,8,10
"Jetta",41,"Volkswagen",6,8,8,10,9,9,10,10,10,10,9,5,10,9,10
"Jetta",42,"Volkswagen",7,5,10,10,7,10,10,10,10,10,9,9,10,10,6
"Jetta",43,"Volkswagen",9,9,10,10,9,10,10,10,10,10,10,9,10,10,10
"Jetta",44,"Volkswagen",6,7,5,8,5,9,9,9,9,4,3,8,8,8,0
"Jetta",45,"Volkswagen",9,5,7,7,7,10,10,10,10,9,8,8,9,8,8
"Jetta",46,"Volkswagen",9,9,10,9,7,10,8,9,5,8,7,7,8,8,8
"Jetta",47,"Volkswagen",9,8,10,9,9,10,8,8,10,9,7,7,10,8,9
"Jetta",48,"Volkswagen",10,10,10,10,9,10,10,10,10,10,9,9,10,10,10
"Jetta",49,"Volkswagen",9,8,9,10,9,10,7,8,10,10,7,8,10,9,10
"Jetta",50,"Volkswagen",9,9,10,10,10,10,10,10,10,10,10,8,10,10,10
"Jetta",51,"Volkswagen",10,8,10,9,10,10,1,5,10,8,6,6,10,7,8
"Jetta",52,"Volkswagen",7,7,8,10,8,10,5,9,10,10,7,6,10,10,10
"Jetta",53,"Volkswagen",7,7,9,8,8,10,9,10,10,9,9,7,8,6,8
"Jetta",54,"Volkswagen",7,7,8,8,8,10,10,10,10,5,8,4,7,7,9
"Jetta",55,"Volkswagen",9,7,9,8,9,10,10,10,10,10,8,7,10,8,10
"Jetta",56,"Volkswagen",10,10,10,9,9,10,9,10,10,10,9,8,10,10,10
"Jetta",57,"Volkswagen",9,7,9,9,9,10,10,9,10,10,8,5,9,7,9
"Jetta",58,"Volkswagen",9,6,8,8,8,9,10,6,10,10,8,8,8,8,8
"Jetta",59,"Volkswagen",8,7,9,9,7,10,5,8,10,10,7,8,8,7,7
"Jetta",60,"Volkswagen",8,10,9,10,9,10,9,8,8,6,9,7,8,5,8
"Jetta",61,"Volkswagen",10,8,10,10,10,10,9,10,10,10,10,7,10,8,8
"Jetta",62,"Volkswagen",10,8,10,10,10,10,9,9,10,8,8,5,10,9,9
"Jetta",63,"Volkswagen",10,9,10,10,10,10,10,10,10,10,8,8,9,10,10
"Jetta",64,"Volkswagen",9,9,10,10,10,10,10,10,10,8,7,5,10,9,10
"Jetta",65,"Volkswagen",9,9,9,8,10,10,9,9,10,9,9,8,9,8,9
"Jetta",66,"Volkswagen",10,7,10,10,9,10,10,10,10,10,9,10,10,10,10
"Jetta",67,"Volkswagen",10,4,8,8,7,8,7,9,9,9,6,4,8,3,5
"Jetta",68,"Volkswagen",8,8,8,8,8,10,7,7,7,10,10,5,9,5,6
"Jetta",69,"Volkswagen",10,10,10,9,10,10,9,9,10,10,8,6,10,9,10
"Jetta",70,"Volkswagen",9,9,8,10,9,9,10,9,10,10,8,8,10,8,8
"Jetta",71,"Volkswagen",9,8,10,10,9,10,10,10,10,10,10,10,10,8,10
"Jetta",72,"Volkswagen",10,10,10,10,10,10,10,10,10,10,9,7,10,8,10
"Jetta",73,"Volkswagen",9,6,8,6,7,9,4,5,7,2,4,6,7,6,6
"Jetta",74,"Volkswagen",9,8,10,10,10,10,10,10,10,10,9,8,10,10,10
"Jetta",75,"Volkswagen",10,9,9,10,10,10,8,9,9,7,9,6,10,8,9
"Jetta",76,"Volkswagen",8,9,9,10,10,10,10,9,10,10,7,7,9,9,9
"Jetta",77,"Volkswagen",9,9,10,9,9,10,10,10,9,9,9,7,8,9,9
"Jetta",78,"Volkswagen",10,10,10,10,10,10,10,10,9,9,8,5,10,8,10
"Jetta",79,"Volkswagen",9,8,10,10,9,9,10,9,10,10,9,8,9,8,9
"Jetta",80,"Volkswagen",8,8,9,9,7,10,7,8,9,10,5,6,9,6,2
"Jetta",81,"Volkswagen",10,9,9,10,10,10,0,0,0,10,4,10,5,8,0
"Jetta",82,"Volkswagen",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Jetta",83,"Volkswagen",10,10,10,10,10,10,9,10,10,9,9,9,9,9,10
"Jetta",84,"Volkswagen",10,7,9,10,10,10,7,9,9,10,9,7,8,10,10
"Jetta",85,"Volkswagen",10,9,9,9,9,10,5,5,7,8,8,6,10,9,10
"Jetta",86,"Volkswagen",8,8,8,7,9,10,3,3,9,9,7,1,9,6,4
"Jetta",87,"Volkswagen",10,10,10,10,10,10,9,10,10,10,9,9,10,10,10
"Jetta",88,"Volkswagen",8,6,8,8,8,8,6,4,9,9,9,4,9,9,8
"Jetta",89,"Volkswagen",9,9,10,10,8,8,9,10,10,9,9,5,9,8,10
"Jetta",90,"Volkswagen",9,10,9,10,10,10,10,10,10,10,9,9,9,10,10
"Jetta",91,"Volkswagen",9,7,9,9,10,10,9,9,9,9,9,5,9,8,8
"Jetta",92,"Volkswagen",9,10,10,9,8,10,10,10,10,10,9,9,10,9,10
"Jetta",93,"Volkswagen",8,6,10,9,9,10,10,10,9,8,7,6,8,9,9
"Jetta",94,"Volkswagen",8,7,10,9,8,10,10,10,10,10,9,9,10,10,10
"Jetta",95,"Volkswagen",9,5,9,10,9,8,10,10,10,10,8,9,10,8,8
"Jetta",96,"Volkswagen",10,9,9,10,9,9,10,10,10,10,9,8,10,9,9
"Jetta",97,"Volkswagen",10,9,9,8,8,10,4,6,8,9,8,3,8,7,6
"Jetta",98,"Volkswagen",10,7,10,9,10,10,9,8,9,10,7,4,10,7,10
"Jetta",99,"Volkswagen",10,9,10,10,9,9,10,9,10,10,10,9,10,9,9
"Jetta",100,"Volkswagen",9,7,9,9,8,9,5,9,8,8,8,5,7,7,7
"Jetta",101,"Volkswagen",10,9,9,9,9,10,8,8,10,9,8,8,8,9,10
"Jetta",102,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Jetta",103,"Volkswagen",9,10,10,10,9,10,10,10,10,10,9,10,10,9,10
"Jetta",104,"Volkswagen",9,8,9,9,9,10,9,9,9,9,9,8,9,10,9
"Jetta",105,"Volkswagen",10,6,9,5,8,10,5,5,6,7,5,3,9,5,6
"Jetta",106,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Jetta",107,"Volkswagen",9,9,10,10,10,10,10,10,10,10,10,10,10,8,10
"Jetta",108,"Volkswagen",10,8,10,10,9,10,7,7,9,10,7,7,9,8,8
"Jetta",109,"Volkswagen",10,10,10,10,9,10,10,10,10,10,10,9,10,10,10
"Jetta",110,"Volkswagen",10,10,10,10,10,10,10,10,10,10,10,8,10,10,10
"Jetta",111,"Volkswagen",10,9,10,10,10,10,9,10,10,10,10,9,10,10,10
"Jetta",112,"Volkswagen",8,6,7,8,9,10,7,8,9,9,9,6,9,7,6
"Jetta",113,"Volkswagen",10,10,10,10,10,10,9,9,10,10,10,9,10,10,10
"Jetta",114,"Volkswagen",8,8,10,10,8,10,10,9,10,9,8,8,9,9,9
"Jetta",115,"Volkswagen",8,2,9,9,6,10,10,9,10,9,2,5,9,8,8
"Jetta",116,"Volkswagen",9,8,9,8,8,10,9,9,9,9,9,8,10,8,9
"Jetta",117,"Volkswagen",10,10,10,10,10,10,8,10,10,10,10,7,10,8,10
"Jetta",118,"Volkswagen",9,10,10,10,9,10,10,10,10,9,9,9,10,8,9
"Jetta",119,"Volkswagen",7,5,9,10,9,10,10,10,10,9,8,9,9,10,9
"Jetta",120,"Volkswagen",10,9,10,10,10,9,10,10,10,10,9,9,10,10,10
"Jetta",121,"Volkswagen",9,9,10,9,9,10,8,10,9,9,9,8,9,8,9
"Jetta",122,"Volkswagen",9,9,9,9,9,10,10,10,10,10,10,7,10,9,9
"Jetta",123,"Volkswagen",9,6,5,10,10,10,9,8,10,8,7,8,9,6,8
"Jetta",124,"Volkswagen",7,3,6,8,7,8,9,9,9,9,5,7,8,6,5
"Jetta",125,"Volkswagen",10,10,10,10,10,10,2,6,9,10,8,4,8,8,8
"Jetta",126,"Volkswagen",9,8,9,9,9,10,10,10,10,10,9,8,9,8,9
"Jetta",127,"Volkswagen",8,10,10,10,10,10,10,10,10,10,8,7,9,8,10
"Jetta",128,"Volkswagen",10,9,9,9,9,10,9,8,10,10,9,9,9,9,9
"Jetta",129,"Volkswagen",10,9,8,8,10,10,8,9,10,10,8,6,9,9,9
"Jetta",130,"Volkswagen",10,9,9,8,8,10,8,9,10,10,8,8,10,8,9
"Saveiro",1,"Volkswagen",10,9,9,9,9,10,7,7,7,0,1,0,8,0,0
"Saveiro",2,"Volkswagen",9,9,9,10,10,10,7,9,9,9,9,9,9,8,8
"Saveiro",3,"Volkswagen",10,5,10,8,10,8,9,8,10,10,7,10,10,9,10
"Saveiro",4,"Volkswagen",9,1,5,8,6,8,8,4,8,2,2,1,6,6,1
"Saveiro",5,"Volkswagen",8,7,8,8,8,8,7,6,8,9,9,8,9,8,8
"Saveiro",6,"Volkswagen",10,10,9,10,10,10,10,10,10,10,10,10,10,8,10
"Saveiro",7,"Volkswagen",10,8,10,10,10,10,9,8,10,7,9,6,10,9,5
"Saveiro",8,"Volkswagen",8,2,8,7,7,8,7,8,7,8,8,10,9,8,7
"Saveiro",9,"Volkswagen",9,8,8,9,10,10,7,7,9,9,7,8,10,8,9
"Saveiro",10,"Volkswagen",5,1,3,0,0,0,0,1,1,0,0,1,9,3,0
"Saveiro",11,"Volkswagen",10,9,10,10,10,10,8,8,10,10,10,10,10,10,10
"Saveiro",12,"Volkswagen",10,9,10,10,8,10,9,10,8,8,8,9,9,9,10
"Saveiro",13,"Volkswagen",10,7,10,8,10,8,9,8,8,8,7,6,8,8,8
"Saveiro",14,"Volkswagen",10,6,6,8,9,8,5,5,3,7,7,5,8,7,7
"Saveiro",15,"Volkswagen",8,5,8,5,7,8,8,5,8,5,0,8,8,4,0
"Saveiro",16,"Volkswagen",10,8,10,9,9,10,7,8,9,5,7,5,9,4,5
"Saveiro",17,"Volkswagen",10,5,9,10,7,8,6,7,8,7,6,7,9,8,5
"Saveiro",18,"Volkswagen",9,5,8,9,7,7,7,6,4,4,7,9,6,3,3
"Saveiro",19,"Volkswagen",9,5,8,8,6,7,7,6,7,9,4,9,5,3,0
"Saveiro",20,"Volkswagen",9,8,8,8,9,9,9,8,8,7,8,9,9,8,9
"Saveiro",21,"Volkswagen",10,8,9,10,10,10,9,5,9,5,10,5,9,6,8
"Saveiro",22,"Volkswagen",10,5,6,10,10,4,9,10,7,3,8,10,10,7,3
"Saveiro",23,"Volkswagen",10,8,9,9,9,9,9,10,10,8,9,9,8,10,9
"Saveiro",24,"Volkswagen",8,7,9,9,8,9,7,9,9,6,9,8,10,8,8
"Saveiro",25,"Volkswagen",9,8,7,10,8,9,7,7,10,9,8,8,10,8,8
"Saveiro",26,"Volkswagen",10,9,9,10,9,10,8,8,10,10,10,10,10,9,10
"Saveiro",27,"Volkswagen",9,5,7,8,6,6,5,9,7,7,6,7,10,7,8
"Saveiro",28,"Volkswagen",9,7,9,8,8,10,6,8,9,8,7,9,8,7,8
"Saveiro",29,"Volkswagen",10,0,4,3,4,8,2,2,8,4,0,8,5,7,0
"Saveiro",30,"Volkswagen",10,5,5,3,5,8,0,3,2,2,5,3,5,5,1
"Saveiro",31,"Volkswagen",10,9,9,10,10,10,10,10,10,10,10,10,10,10,10
"Saveiro",32,"Volkswagen",10,7,0,8,7,8,9,4,10,6,8,6,9,6,6
"Saveiro",33,"Volkswagen",9,5,7,4,5,7,5,2,8,1,1,9,7,6,5
"Saveiro",34,"Volkswagen",8,8,7,8,8,8,8,8,9,8,7,8,8,8,9
"Saveiro",35,"Volkswagen",8,5,5,2,7,8,2,0,10,1,1,8,10,3,0
"Saveiro",36,"Volkswagen",9,8,8,8,8,9,7,7,6,6,6,9,8,7,8
"Saveiro",37,"Volkswagen",10,10,10,9,9,10,5,5,9,10,7,5,9,8,9
"Saveiro",38,"Volkswagen",10,4,8,9,8,10,10,10,10,7,5,10,10,3,7
"Saveiro",39,"Volkswagen",9,7,9,8,8,9,6,6,9,6,9,4,9,7,8
"Saveiro",40,"Volkswagen",8,8,6,7,9,10,8,7,8,9,9,5,6,5,8
"Saveiro",41,"Volkswagen",9,7,9,9,8,9,6,5,10,0,7,8,8,6,7
"Saveiro",42,"Volkswagen",9,8,8,8,8,9,9,9,10,9,9,8,7,1,4
"Saveiro",43,"Volkswagen",9,8,8,8,6,7,7,5,9,7,6,7,7,5,6
"Saveiro",44,"Volkswagen",10,8,8,8,8,10,3,8,10,0,5,5,10,7,7
"Saveiro",45,"Volkswagen",10,1,2,2,2,10,3,4,10,2,3,2,9,4,5
"Saveiro",46,"Volkswagen",10,10,10,10,8,10,10,10,10,10,10,10,10,10,10
"Saveiro",47,"Volkswagen",10,5,8,9,9,9,9,7,8,5,8,8,8,5,6
"Saveiro",48,"Volkswagen",10,9,9,8,9,9,8,9,10,8,9,9,10,9,9
"Saveiro",49,"Volkswagen",10,8,10,10,10,10,9,8,10,9,9,8,10,9,10
"Saveiro",50,"Volkswagen",7,5,4,7,6,0,4,3,7,7,6,8,7,5,5
"Saveiro",51,"Volkswagen",10,2,6,8,8,8,9,7,6,7,3,9,9,6,6
"Saveiro",52,"Volkswagen",7,1,4,6,4,7,5,1,7,4,0,8,0,5,0
"Saveiro",53,"Volkswagen",9,8,8,8,9,9,6,7,9,5,7,7,8,8,9
"Saveiro",54,"Volkswagen",10,9,7,10,9,10,8,9,10,8,9,9,9,8,9
"Saveiro",55,"Volkswagen",8,4,5,7,7,8,8,7,7,4,4,9,7,8,7
"Saveiro",56,"Volkswagen",10,8,8,9,9,10,9,9,8,9,8,8,9,8,9
"Saveiro",57,"Volkswagen",8,6,7,8,7,8,8,8,8,7,7,9,6,8,8
"Saveiro",58,"Volkswagen",9,7,8,8,9,9,9,9,9,9,9,5,9,9,9
"Saveiro",59,"Volkswagen",7,5,3,7,6,9,7,3,8,3,3,5,7,5,5
"Saveiro",60,"Volkswagen",9,7,8,10,7,9,7,9,10,8,10,7,10,9,10
"Saveiro",61,"Volkswagen",9,5,8,10,8,10,10,6,10,3,10,6,9,5,3
"Saveiro",62,"Volkswagen",9,3,0,3,3,9,2,5,8,8,9,3,3,3,2
"Saveiro",63,"Volkswagen",9,8,5,9,10,10,7,6,9,9,7,8,10,8,8
"Saveiro",64,"Volkswagen",10,8,7,10,8,8,6,7,10,10,3,8,10,4,7
"Saveiro",65,"Volkswagen",10,9,8,9,9,10,8,9,9,8,10,8,10,8,10
"Saveiro",66,"Volkswagen",10,10,9,10,10,10,10,10,10,10,10,10,10,10,10
"Saveiro",67,"Volkswagen",8,6,6,7,7,9,6,3,3,3,3,5,8,3,5
"Saveiro",68,"Volkswagen",10,7,9,9,7,9,8,8,10,9,7,9,10,8,9
"Saveiro",69,"Volkswagen",9,5,8,9,8,9,8,8,9,7,6,7,8,6,6
"Saveiro",70,"Volkswagen",10,10,10,10,10,10,10,9,10,9,10,7,10,10,10
